Time,Alpha_L1,Alpha_L2,Alpha_R1,Alpha_R2,AVz     ,AV_Eng  ,Ay      ,Bk_Stat ,Fx_L1   ,Fx_L2   ,Fx_R1   ,Fx_R2   ,Fy_L1   ,Fy_L2   ,Fy_R1   ,Fy_R2   ,Fz_L1   ,Fz_L2   ,Fz_R1   ,Fz_R2   ,HeadO_1 ,HeadO_10,HeadO_2 ,HeadO_3 ,HeadO_4 ,HeadO_5 ,HeadO_6 ,HeadO_7 ,HeadO_8 ,HeadO_9 ,LatO_1  ,LatO_10 ,LatO_2  ,LatO_3  ,LatO_4  ,LatO_5  ,LatO_6  ,LatO_7  ,LatO_8  ,LatO_9  ,Lat_Targ,Lat_Veh ,Pitch   ,PitchGL1,PitchGL2,PitchGR1,PitchGR2,PitchO1 ,PitchO10,PitchO2 ,PitchO3 ,PitchO4 ,PitchO5 ,PitchO6 ,PitchO7 ,PitchO8 ,PitchO9 ,Roll    ,RollGL1 ,RollGL2 ,RollGR1 ,RollGR2 ,RollO_1 ,RollO_10,RollO_2 ,RollO_3 ,RollO_4 ,RollO_5 ,RollO_6 ,RollO_7 ,RollO_8 ,RollO_9 ,Roll_E  ,Roll_L1 ,Roll_L2 ,Roll_R1 ,Roll_R2 ,Rot_L1  ,Rot_L2  ,Rot_R1  ,Rot_R2  ,Station ,Steer_L1,Steer_R1,Steer_SW,S_Obj_1 ,S_Obj_10,S_Obj_2 ,S_Obj_3 ,S_Obj_4 ,S_Obj_5 ,S_Obj_6 ,S_Obj_7 ,S_Obj_8 ,S_Obj_9 ,S_RdO_1 ,S_RdO_10,S_RdO_2 ,S_RdO_3 ,S_RdO_4 ,S_RdO_5 ,S_RdO_6 ,S_RdO_7 ,S_RdO_8 ,S_RdO_9 ,VisO_1  ,VisO_10 ,VisO_2  ,VisO_3  ,VisO_4  ,VisO_5  ,VisO_6  ,VisO_7  ,VisO_8  ,VisO_9  ,Vx      ,VxTarget,v_mod1  ,v_mod2  ,v_mod3  ,v_mod4  ,Xctc_L1 ,Xctc_L2 ,Xctc_R1 ,Xctc_R2 ,Xo      ,X_DM_1  ,X_DM_10 ,X_DM_2  ,X_DM_3  ,X_DM_4  ,X_DM_5  ,X_DM_6  ,X_DM_7  ,X_DM_8  ,X_DM_9  ,X_L1    ,X_L2    ,X_Obj_1 ,X_Obj_10,X_Obj_2 ,X_Obj_3 ,X_Obj_4 ,X_Obj_5 ,X_Obj_6 ,X_Obj_7 ,X_Obj_8 ,X_Obj_9 ,X_R1    ,X_R2    ,Yaw     ,YawO_1  ,YawO_10 ,YawO_2  ,YawO_3  ,YawO_4  ,YawO_5  ,YawO_6  ,YawO_7  ,YawO_8  ,YawO_9  ,Yaw_L1  ,Yaw_L2  ,Yaw_R1  ,Yaw_R2  ,Yctc_L1 ,Yctc_L2 ,Yctc_R1 ,Yctc_R2 ,Yo      ,Y_DM_1  ,Y_DM_10 ,Y_DM_2  ,Y_DM_3  ,Y_DM_4  ,Y_DM_5  ,Y_DM_6  ,Y_DM_7  ,Y_DM_8  ,Y_DM_9  ,Y_L1    ,Y_L2    ,Y_Obj_1 ,Y_Obj_10,Y_Obj_2 ,Y_Obj_3 ,Y_Obj_4 ,Y_Obj_5 ,Y_Obj_6 ,Y_Obj_7 ,Y_Obj_8 ,Y_Obj_9 ,Y_R1    ,Y_R2    ,Zgnd_L1 ,Zgnd_L2 ,Zgnd_R1 ,Zgnd_R2 ,Zo      ,Z_DM_1  ,Z_DM_10 ,Z_DM_2  ,Z_DM_3  ,Z_DM_4  ,Z_DM_5  ,Z_DM_6  ,Z_DM_7  ,Z_DM_8  ,Z_DM_9  ,Z_L1    ,Z_L2    ,Z_Obj_1 ,Z_Obj_10,Z_Obj_2 ,Z_Obj_3 ,Z_Obj_4 ,Z_Obj_5 ,Z_Obj_6 ,Z_Obj_7 ,Z_Obj_8 ,Z_Obj_9 ,Z_R1    ,Z_R2    
            0, 7.67994102646e-18,             0, -7.67994102646e-18,             0,             0, 2337.08007812, -8.72339746458e-21,             0, -4.93432725235e-11, -1.44153838172e-11, -4.93432725235e-11, -1.44153838172e-11, -3.0784640605e-19,             0, 3.0784640605e-19,             0, 4403.56884766, 2520.42797852, 4403.56884766, 2520.42797852,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.13834965229,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 1.59027735929e-15,             0, -1.59027735929e-15,             0, 0.000384304614272, 0.000384304614272, 0.000384304614272, 0.000384304614272,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 3.33333325386, 33.3333320618, 6.66666650772,            10, 13.3333330154, 16.6666660309,            20, 23.3333339691, 26.6666660309,            30,             1,             1,             1,             1,             1,             1,             1,             1,             1,             1,           120,           120, 2.67060409962e-18,             0, 13.8240003586, 1.54919338226, 0.00078476278577, -2.90920686722, 0.00078476278577, -2.90920686722,             0, 3.33333325386, 33.3333320618, 6.66666650772,            10, 13.3333330154, 16.6666660309,            20, 23.3333339691, 26.6666660309,            30, 0.00078476278577, -2.90920686722, 3.33333325386, 33.3333320618, 6.66666650772,            10, 13.3333330154, 16.6666660309,            20, 23.3333339691, 26.6666660309,            30, 0.00078476278577, -2.90920686722,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -1.01504288525e-15,             0, 1.61869743226e-15,             0, 0.837499976158, 0.837499976158, -0.837499976158, -0.837499976158,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.837499976158, 0.837499976158,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -0.837499976158, -0.837499976158,             0,             0,             0,             0, -0.00743027916178,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.317568778992, 0.324595421553,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.317568778992, 0.324595421553
        0.025, -0.000556111161131, -0.00028775841929, 0.000556111161131, 0.00028775841929, 7.33952142972e-16, 2314.03735352, -3.45178333715e-17,             0, -27.9780349731, -14.5006599426, -27.9780349731, -14.5006599426, 0.443130850792, 0.231993451715, -0.443130850792, -0.231993451715, 4388.56396484, 2529.40576172, 4388.56396484, 2529.40576172,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 1.07256123711e-20, 0.135900646448,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -9.29912143293e-18,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -9.29914790271e-18, -0.000640836893581, -0.000447196274763, 0.000640836893581, 0.000447196274763, 0.408341884613, 0.408349841833, 0.408341884613, 0.408349841833, 0.83324432373, 0.000346526387148, -0.000346526387148, 1.65180731489e-15,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 4.14902067184, 34.1409759521, 7.48146009445, 10.8138990402, 14.1463384628, 17.4787788391, 20.8112163544,  24.143655777, 27.4760951996, 30.8085346222,             1,             1,             1,             1,             1,             1,             1,             1,             1,             1, 119.967384338,           120,             0, 0.182802677155, 13.8127336502, 1.54898285866, 0.834012567997, -2.07597875595, 0.834012567997, -2.07597875595, 0.83324432373, 4.16566467285, 34.1574516296, 7.49808549881, 10.8305063248, 14.1629266739, 17.4953479767, 20.8277683258, 24.1601886749,  27.492609024, 30.8250293732, 0.834012567997, -2.07597875595, 4.16566467285, 34.1574516296, 7.49808549881, 10.8305063248, 14.1629266739, 17.4953479767, 20.8277683258, 24.1601886749,  27.492609024, 30.8250293732, 0.834012567997, -2.07597875595, 8.8248284774e-18,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.000348047382431, 0.000193682004465, -0.000348047382431, -0.000193682004465, 0.837497889996, 0.837497651577, -0.837497889996, -0.837497651577, 1.07256123711e-20,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.837501466274, 0.837500214577,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -0.837501466274, -0.837500214577,             0,             0,             0,             0, -0.00732205156237,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.317624747753, 0.324561923742,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.317624747753, 0.324561923742
         0.05, -0.00154570490122, -0.00011973882647, 0.00154570490122, 0.00011973882647, 2.66923290383e-15,    2297.78125, 5.77784003507e-17,             0, -37.1634635925, -14.3638248444, -37.1634635925, -14.3638248444, 1.45160055161,  0.1507024616, -1.45160055161, -0.1507024616, 4341.09814453,  2535.9777832, 4341.09814453,  2535.9777832,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -1.66174549228e-19, 0.129696413875,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -3.07301865815e-17,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -3.07302659909e-17, -0.00202580098994, -0.000433397246525, 0.00202580098994, 0.000433397246525, 0.816157460213, 0.816194176674, 0.816157460213, 0.816194176674, 1.66628992558, 0.00109636166599, -0.00109636166599, -2.76886600128e-15,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,  4.9811205864, 34.9645233154, 8.31260967255, 11.6440992355, 14.9755887985, 18.3070774078, 21.6385669708, 24.9700565338, 28.3015460968, 31.6330356598,             1,             1,             1,             1,             1,             1,             1,             1,             1,             1, 119.933303833,           120,             0, 0.290426433086, 13.8009662628, 1.54876279831, 1.66702091694, -1.24296891689, 1.66702091694, -1.24296891689, 1.66628992558, 4.99775981903, 34.9809913635, 8.32923030853, 11.6606998444, 14.9921703339, 18.3236408234, 21.6551113129,  24.986579895, 28.3180503845,  31.649520874, 1.66702091694, -1.24296891689, 4.99775981903, 34.9809913635, 8.32923030853, 11.6606998444, 14.9921703339, 18.3236408234, 21.6551113129,  24.986579895, 28.3180503845,  31.649520874, 1.66702091694, -1.24296891689, 2.8982797316e-17,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.0011009501759, 0.000186776844203, -0.0011009501759, -0.000186776844203, 0.837493300438, 0.837497711182, -0.837493300438, -0.837497711182, -1.66174549228e-19,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.837504565716, 0.837500154972,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -0.837504565716, -0.837500154972,             0,             0,             0,             0, -0.00703216483817,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.317801862955, 0.324537396431,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.317801862955, 0.324537396431
        0.075, -0.00317570194602, -0.000196167864488, 0.00317570194602, 0.000196167864488, 3.68587699899e-15, 2288.44604492, -4.37727560628e-18,             0, -46.3365211487, -14.1100692749, -46.3365211487, -14.1100692749, 3.29968976974, 0.124060414732, -3.29968976974, -0.124060414732, 4289.97509766, 2531.87084961, 4289.97509766, 2531.87084961,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 6.3345760143e-19, 0.122158803046,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -4.96988343083e-17,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -4.96989468048e-17, -0.00453322660178, -0.000343095423887, 0.00453322660178, 0.000343095423887, 1.22382044792,    1.22392416, 1.22382044792,    1.22392416,   2.499106884, 0.00245721358806, -0.00245721358806, -4.29327119645e-15,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 5.81296300888, 35.7875556946, 9.14347362518, 12.4739837646, 15.8044939041, 19.1350040436, 22.4655151367, 25.7960243225, 29.1265354156, 32.4570465088,             1,             1,             1,             1,             1,             1,             1,             1,             1,             1, 119.898025513,           120,             0, 0.350944131613, 13.7887954712, 1.54853510857, 2.49979186058, -0.410195380449, 2.49979186058, -0.410195380449,   2.499106884, 5.82959747314, 35.8040122986, 9.16008758545, 12.4905776978, 15.8210687637, 19.1515598297,  22.482049942, 25.8125400543, 29.1430301666, 32.4735221863, 2.49979186058, -0.410195380449, 5.82959747314, 35.8040122986, 9.16008758545, 12.4905776978, 15.8210687637, 19.1515598297,  22.482049942, 25.8125400543, 29.1430301666, 32.4735221863, 2.49979186058, -0.410195380449, 1.01449380938e-16,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.00246688444167, 0.000147812039359, -0.00246688444167, -0.000147812039359, 0.837484955788, 0.837498188019, -0.837484955788, -0.837498188019, 6.3345760143e-19,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.837510108948, 0.837500154972,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -0.837510108948, -0.837500154972, 5.55111512313e-17,             0, 5.55111512313e-17,             0, -0.00663760025054,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.317992627621, 0.324552714825,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.317992627621, 0.324552714825
          0.1, -0.0052419831045, -0.000759734539315, 0.0052419831045, 0.000759734539315, 4.73651083226e-15, 2285.01049805, 2.29825664645e-17,             0, -51.7005500793, -13.8981571198, -51.7005500793, -13.8981571198,  5.8877658844, 0.44417911768, -5.8877658844, -0.44417911768,  4253.7890625, 2519.22753906,  4253.7890625, 2519.22753906,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 2.36849375168e-18, 0.11534627527,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -7.75759889303e-17,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -7.7576147749e-17, -0.00798039510846, -0.000890348397661, 0.00798039510846, 0.000890348397661, 1.63133180141, 1.63153219223, 1.63133180141, 1.63153219223, 3.33166885376, 0.00433510541916, -0.00433510541916, -7.52940715825e-15,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 6.64452838898, 36.6101036072, 9.97403621674, 13.3035449982, 16.6330528259, 19.9625606537, 23.2920684814, 26.6215782166, 29.9510860443, 33.2805938721,             1,             1,             1,             1,             1,             1,             1,             1,             1,             1, 119.861846924,           120,             0, 0.377502411604, 13.7763233185, 1.54830157757, 3.33231115341, 0.422326624393, 3.33231115341, 0.422326624393, 3.33166885376, 6.66115665436, 36.6265487671, 9.99064445496, 13.3201332092, 16.6496200562, 19.9791088104, 23.3085975647, 26.6380844116, 29.9675731659, 33.2970619202, 3.33231115341, 0.422326624393, 6.66115665436, 36.6265487671, 9.99064445496, 13.3201332092, 16.6496200562, 19.9791088104, 23.3085975647, 26.6380844116, 29.9675731659, 33.2970619202, 3.33231115341, 0.422326624393, 2.29082469335e-16,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.0043511800468, 0.000384932529414, -0.0043511800468, -0.000384932529414, 0.837473273277, 0.837495326996, -0.837473273277, -0.837495326996, 2.36849375168e-18,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.837517559528, 0.837500393391,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -0.837517559528, -0.837500393391,             0, 5.55111512313e-17,             0, 5.55111512313e-17, -0.00622320175171,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.318127661943, 0.324599891901,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.318127661943, 0.324599891901
        0.125, -0.00745174149051, -0.00173607922625, 0.00745174149051, 0.00173607922625, 1.96839339634e-15, 2286.09521484, 4.11290620097e-18,             0, -52.6164398193, -13.7909126282, -52.6164398193, -13.7909126282, 8.87810611725, 1.14642751217, -8.87810611725, -1.14642751217, 4237.87890625, 2505.66210938, 4237.87890625, 2505.66210938,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 2.94956910684e-18, 0.110099054873,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -1.43614422972e-16,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -1.4361468767e-16, -0.0118887322024, -0.00238242698833, 0.0118887322024, 0.00238242698833, 2.03870391846, 2.03901386261, 2.03870391846, 2.03901386261, 4.16396427155, 0.00647405395284, -0.00647405395284, -5.49150433243e-15,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 7.47581672668, 37.4322814941,  10.804312706, 14.1328086853, 17.4613037109, 20.7898006439, 24.1182956696, 27.4467926025, 30.7752876282, 34.1037826538,             1,             1,             1,             1,             1,             1,             1,             1,             1,             1, 119.825317383,           120,             0, 0.376343429089, 13.7637319565, 1.54806566238, 4.16457223892, 1.25458955765, 4.16457223892, 1.25458955765, 4.16396427155, 7.49243974686, 37.4487190247, 10.8209152222, 14.1493911743, 17.4778671265, 20.8063430786, 24.1348171234, 27.4632930756, 30.7917690277, 34.1202430725, 4.16457223892, 1.25458955765, 7.49243974686, 37.4487190247, 10.8209152222, 14.1493911743, 17.4778671265, 20.8063430786, 24.1348171234, 27.4632930756, 30.7917690277, 34.1202430725, 4.16457223892, 1.25458955765, 3.14518924016e-16,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.00649691140279, 0.00102960178629, -0.00649691140279, -0.00102960178629, 0.837459862232, 0.837487518787, -0.837459862232, -0.837487518787, 2.94956910684e-18,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.837525844574, 0.837500989437,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -0.837525844574, -0.837500989437,             0,             0,             0,             0, -0.00584823172539,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.318186998367, 0.324650526047,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.318186998367, 0.324650526047
         0.15, -0.00955855101347, -0.00284101441503, 0.00955855101347, 0.00284101441503, 1.32320003597e-15, 2290.35351562, 1.18375686645e-16,             0, -49.7953681946, -13.7976579666, -49.7953681946, -13.7976579666, 11.8997097015, 2.04827952385, -11.8997097015, -2.04827952385, 4238.39892578, 2497.90478516, 4238.39892578, 2497.90478516,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 3.85729374321e-18, 0.106219299138,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -1.29227409544e-16,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -1.29227634537e-16, -0.0157760418952, -0.00457039568573, 0.0157760418952, 0.00457039568573,  2.4459528923, 2.44636869431,  2.4459528923, 2.44636869431, 4.99599313736, 0.00861179176718, -0.00861179176718, -4.51503162182e-15,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 8.30684185028, 38.2542228699, 11.6343288422,  14.961815834, 18.2893028259, 21.6167888641, 24.9442749023, 28.2717628479, 31.5992488861, 34.9267349243,             1,             1,             1,             1,             1,             1,             1,             1,             1,             1,   119.7889328,           120,             0, 0.352377146482, 13.7511997223, 1.54783058167, 4.99657487869, 2.08659362793, 4.99657487869, 2.08659362793, 4.99599313736, 8.32345962524, 38.2706604004,   11.65092659, 14.9783935547, 18.3058605194, 21.6333274841, 24.9607925415, 28.2882595062, 31.6157264709, 34.9431915283, 4.99657487869, 2.08659362793, 8.32345962524, 38.2706604004,   11.65092659, 14.9783935547, 18.3058605194, 21.6333274841, 24.9607925415, 28.2882595062, 31.6157264709, 34.9431915283, 4.99657487869, 2.08659362793, 3.69283071597e-16,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.00864105299115, 0.00197374168783, -0.00864105299115, -0.00197374168783, 0.837446272373, 0.837475955486, -0.837446272373, -0.837475955486, 3.85729374321e-18,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.837533891201, 0.837501883507,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -0.837533891201, -0.837501883507, 5.55111512313e-17, 5.55111512313e-17, 5.55111512313e-17, 5.55111512313e-17, -0.00553747406229,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.318185061216, 0.324679464102,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.318185061216, 0.324679464102
        0.175, -0.0114247286692, -0.00378386047669, 0.0114247286692, 0.00378386047669, -1.7773607852e-15, 2296.71777344, 4.36710533793e-17,             0, -44.4524421692, -13.8896331787, -44.4524421692, -13.8896331787, 14.6692094803, 2.90500831604, -14.6692094803, -2.90500831604,   4247.828125, 2497.98461914,   4247.828125, 2497.98461914,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 6.05363404541e-18, 0.103085786104,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -4.6479423376e-18,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -4.64794978222e-18, -0.0193181820214, -0.00689159054309, 0.0193181820214, 0.00689159054309, 2.85309290886, 2.85359883308, 2.85309290886, 2.85359883308, 5.82776498795, 0.0105685479939, -0.0105685479939, -1.41820187491e-15,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 9.13762283325,   39.07604599, 12.4641141891,  15.790605545, 19.1170978546, 22.4435882568, 25.7700805664, 29.0965709686, 32.4230613708, 35.7495536804,             1,             1,             1,             1,             1,             1,             1,             1,             1,             1, 119.753089905,           120,             0, 0.309485048056, 13.7388591766, 1.54759895802, 5.82832527161, 2.91834425926, 5.82832527161, 2.91834425926, 5.82776498795, 9.15423679352, 39.0924797058, 12.4807081223,  15.807179451, 19.1336517334, 22.4601230621, 25.7865943909, 29.1130657196, 32.4395370483, 35.7660102844, 5.82832527161, 2.91834425926, 9.15423679352, 39.0924797058, 12.4807081223,  15.807179451, 19.1336517334, 22.4601230621, 25.7865943909, 29.1130657196, 32.4395370483, 35.7660102844, 5.82832527161, 2.91834425926, 4.00483503739e-16,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.0106033226475, 0.00297461031005, -0.0106033226475, -0.00297461031005, 0.837433695793, 0.837463736534, -0.837433695793, -0.837463736534, 6.05363404541e-18,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.837540984154, 0.837502777576,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -0.837540984154, -0.837502777576,             0,             0,             0,             0, -0.00528876949102,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.318149864674, 0.324679166079,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.318149864674, 0.324679166079
          0.2, -0.0130200842395, -0.00441171275452, 0.0130200842395, 0.00441171275452, -2.5487829129e-15, 2304.49853516, 4.13948045348e-17,             0, -37.8817481995, -14.0210886002, -37.8817481995, -14.0210886002,  17.038110733, 3.54635381699, -17.038110733, -3.54635381699, 4259.21630859, 2503.51049805, 4259.21630859, 2503.51049805,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 8.04287065612e-18, 0.100164785981,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 1.81232956105e-16,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 1.81233234037e-16, -0.0223867595196, -0.00882796756923, 0.0223867595196, 0.00882796756923,  3.2601339817, 3.26070761681,  3.2601339817, 3.26070761681, 6.65928792953, 0.0122704003006, -0.0122704003006, -8.0141837016e-16,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 9.96817684174, 39.8978271484, 13.2936935425, 16.6192092896,  19.944726944,  23.270242691, 26.5957603455, 29.9212760925, 33.2467918396, 36.5723114014,             1,             1,             1,             1,             1,             1,             1,             1,             1,             1, 119.718025208,           120,             0, 0.250076889992, 13.7267904282, 1.54737234116, 6.65982866287, 3.74984812737, 6.65982866287, 3.74984812737, 6.65928792953, 9.98478507996, 39.9142608643, 13.3102827072, 16.6357803345, 19.9612770081,  23.286775589, 26.6122722626, 29.9377689362, 33.2632675171, 36.5887641907, 6.65982866287, 3.74984812737, 9.98478507996, 39.9142608643, 13.3102827072, 16.6357803345, 19.9612770081,  23.286775589, 26.6122722626, 29.9377689362, 33.2632675171, 36.5887641907, 6.65982866287, 3.74984812737, 3.78778019768e-16,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.0123095549643, 0.00380891282111, -0.0123095549643, -0.00380891282111, 0.837422728539, 0.83745354414, -0.837422728539, -0.83745354414, 8.04287065612e-18,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.837547004223, 0.837503552437,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -0.837547004223, -0.837503552437,             0,             0,             0,             0, -0.00508613744751,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.318107366562, 0.324658542871,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.318107366562, 0.324658542871
        0.225, -0.0143858129159, -0.0047331796959, 0.0143858129159, 0.0047331796959, -3.25911765972e-15, 2321.87670898, 4.00591229125e-17,             0, -29.908744812, -14.161564827, -29.908744812, -14.161564827, 18.9650974274, 3.92751431465, -18.9650974274, -3.92751431465, 4268.18652344, 2510.42626953, 4268.18652344, 2510.42626953,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 9.3153358273e-18, 0.0972006395459,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 3.9007553346e-16,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 3.90076089326e-16, -0.0250062476844, -0.0101335393265, 0.0250062476844, 0.0101335393265, 3.66708254814, 3.66769838333, 3.66708254814, 3.66769838333, 7.49057102203, 0.0137280123308, -0.0137280123308, 1.36446345775e-15,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 10.7985143661, 40.7196121216, 14.1230802536, 17.4476470947, 20.7722129822, 24.0967788696, 27.4213466644, 30.7459125519,  34.070476532, 37.3950462341,             1,             1,             1,             1,             1,             1,             1,             1,             1,             1, 119.683853149,           120,             0, 0.107155561447, 13.7150354385, 1.54715144634, 7.49109268188,  4.5811123848, 7.49109268188,  4.5811123848, 7.49057102203, 10.8151187897, 40.7360458374, 14.1396665573,  17.464214325, 20.7887611389, 24.1133098602, 27.4378566742, 30.7624053955, 34.0869522095, 37.4114990234, 7.49109220505,  4.5811123848, 10.8151187897, 40.7360458374, 14.1396665573,  17.464214325, 20.7887611389, 24.1133098602, 27.4378566742, 30.7624053955, 34.0869522095, 37.4114990234, 7.49109220505,  4.5811123848, 3.03136495271e-16,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.0137704536319, 0.00437074014917, -0.0137704536319, -0.00437074014917,  0.8374132514, 0.837446630001, -0.8374132514, -0.837446630001, 9.3153358273e-18,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.837552070618, 0.837504029274,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -0.837552070618, -0.837504029274,             0,             0,             0,             0, -0.00491095567122,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.318073898554, 0.32463273406,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 0.318073898554, 0.32463273406
